类别,书名,作者,价格,出版社,商家,简介
大陆原创青春文学,青山看我应如是,静水边/磨铁文化,32.40,广东旅游出版社,自营,★长佩高人气作者静水边 @木更木更木更木更 全新古风奇幻作品《青山看我应如是》，19w收藏，6w 读者点评，4000w 人气。 ★异型外封，书名磨砂，云纹烫金，质感奢华；内封特邀知名插画师绘制食梦貘与龙的形象，与青山相呼应；内文附8P精美彩插，随书赠品丰富多样，含随书七重九件赠品，件件诚意满满~ ★独家番外折页 1 佛境海报 1 人物书签 2 龙绕貘 异型卡 1 三世明信片 2 藏书票 1 手工相框 1（2件正背拼贴） ★新增未公开独家番外《佛境日常》，内含番外两则《钓鱼》《门禁》，一起了解佛境的生活趣事。
大陆原创青春文学,你是我的小虚荣·1（当当独家海报版）,萱草妖花/力潮文创,28.00,世界知识出版社,自营,★晋江高人气甜宠小说！多个微博读书号口碑推文！ 萝莉训犬师 X 闷骚院长 撒糖虐狗 请注意！前方有萌宠出没！千万读者认证吸狗读物！ 知名作家萱草妖花继《同学别将就》后，全新暖爱力作，萌炸你的细胞 ★收录2篇未公开的全新番外！ ★双封面设计，内文典雅胶版纸，提供高品质的阅读享受。
大陆原创青春文学,野火（已经见过野火，这一路就不算黑。 晋江高人气青春文学作家云拿月又一力作！新增出版独家番外！）,云拿月/悦读纪,35.80,青岛出版社,自营,1、已经见过野火，这一路就不算黑。 2、芯片领域科学家 小提琴演奏家 陈就 冬稚 晋江高人气青春文学作家云拿月又一力作！ 3、冬稚知道，无论陈就伸出多少次援手，都只不过是指缝露出的顺便善意，或许再多一点怜悯同情。 他是属于别人的天之骄子。 4、她是冬日顽根稚草，如其名， 以身相付，在他心里烧起一把燎原大火。 陈就这辈子，只恨过一个人，也只爱这一个人。 5、 我和世界有所关联，我仍想拥抱这个世界。 6、 我希望他像我一样去爱，也能像我一样遇到一个很好的人回应他的爱。 7、全文精心修订，新增出版独家番外！随书附赠精美海报、明信片、书签！
大陆原创青春文学,开局地摊卖大力.1：灿若骄阳 番茄小说网高人气作者弈青锋高口碑成名之作,弈青锋/磨铁文化,35.80,中国友谊出版公司,自营,★番茄小说网高人气作者弈青锋高口碑成名之作《开局地摊卖大力》，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，采用【江南绝密档案】元素设计；随书赠品丰富多样，含江南人物透卡 1 主角团档案卡 2 Q版异形书签 3。 ★ 我叫江南，江城的江，男孩的南。 江南 ★就算是生在路边无人呵护的野草，也能长得很好，因为生命皆向上而生。
大陆原创青春文学,夜幕之下.5 极恶都市 三九音域 动画斩神之凡尘神域原著番茄小说网我在精神病院学斩神 实体书畅销实体书言情青春文学磨铁图,暂无作者信息,39.60,北京联合出版有限公司,搜书图书专营店,暂无简介
大陆原创青春文学,执啄,打字机/大鱼文化,41.20,长江文艺出版社,自营,玩世不恭 涂鸦少年 寡言少语 孤僻学霸 长佩人气作者 打字机 双少年 校园成长救赎之作 世界是彩色的，我是灰色的 但是你在， 就可以把我拉入颜料桶 染上世界的五颜六色
大陆原创青春文学,开局地摊卖大力.1：灿若骄阳（当当印特签版）番茄小说网高人气作者弈青锋高口碑成名之作,弈青锋/磨铁文化,35.80,中国友谊出版公司,自营,★番茄小说网高人气作者弈青锋高口碑成名之作《开局地摊卖大力》，各大图书博主热推作品！ ★特邀画手绘制多幅插图，内文附4P精美彩插，采用【江南绝密档案】元素设计；随书赠品丰富多样，含江南人物透卡 1 主角团档案卡 2 Q版异形书签 3。 ★ 我叫江南，江城的江，男孩的南。 江南 ★就算是生在路边无人呵护的野草，也能长得很好，因为生命皆向上而生。
大陆原创青春文学,夜幕之下.6 神祸降临 动画斩神之凡尘神域原著三九音域 番茄小说我在精神病院学斩神实体书畅销实体书言情青春文学磨铁图书,暂无作者信息,39.60,北京联合出版公司,搜书图书专营店,暂无简介
大陆原创青春文学,大江大河手账本日程本（正午阳光电视剧《大江大河》，王凯、杨烁、董子健、童瑶主演）,呼葱觅蒜/人民交通出版社股份有限公司/交通社出品/有容书邦发行,35.20,人民交通出版社,自营,1、 随书上市同步播出电视剧《大江大河》，王凯、杨烁、董子健演绎。 2、 手账本内含呼葱觅蒜绘制的独家收录电视剧三主角故事情节插画，描绘了主人公们在时代的浪潮中彼此起伏、潮起潮落，但永不言弃的故事。呼葱觅蒜是享誉微博的古风插画师，独创无脸人绘画风格，曾绘有《旧时书》《大话西游》《青蛇》等作品。 3、 手账本为软精装定制版，表面覆防水膜，柔软不易磨损。内文为厚版云书写纸，彩色印刷。随书附赠1张2019年历海报及3张复古人物书签。 4、 2019故事继续上演，而本书，将由你的思考与书写决定结局。
大陆原创青春文学,失冬季 十清杳又一青春BE美学力作,十清杳,34.30,江苏凤凰文艺出版社,自营,暂无简介
大陆原创青春文学,破晓将至（随书海报1张+Q版拍立得2张+镭射门票1张+万余字独家番外）,路嘻法/天河世纪,42.33,长江出版社,荷露茗图书专营店,暂无简介
大陆原创青春文学,【正版包邮】全知读者视角.2（末世+悬疑+无限流——韩国现象级国民小说、奇幻网文 TOP！简体中文版独家授权！“一个世界,singNsong/磨铁文化出品,45.80,国际文化出版公司,爱知图书专营店,暂无简介
大陆原创青春文学,我有一条仙女裙（晋江人气作家容光继《我有无边美貌》之后又一欢乐治愈力作）,容光/悦读纪,58.60,青岛出版社,自营,1.震惊！我会隐身的超能力被邻居发现了！ 2.隐身衣拥有者 赵又锦 vs 赵又锦观测者 陈亦行 3.实习期小记者和对门的科技大佬斗智斗勇的捉迷藏式爱情故事。 4. 还好我只跟你吃这一顿饭。一想到将来会有人跟你朝夕相处，共进一日三餐，我这会儿就已经开始同情她了。 收起你泛滥的同情心。反正那个人不会是你。 5.附赠独家番外《新的故事》。 6.随书赠送精美海报、书签、生日贺卡、仙女裙立卡。
