类别,书名,作者,价格,出版社,商家,简介
青春校园文学,请不要暗恋我 全2册 作者亲签版 作者有厌最新甜蜜校园暗恋文,有厌/大鱼文学,59.20,江苏凤凰文艺出版社,自营,《你不像任何人》作者 有厌 甜蜜校园暗恋文 钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰 姜织关注了沈译驰两年半， 转学前一天，她没忍住对他表明了心意。 不料计划有变，姜织仍留在原校， 可沈译驰看她的眼神怎么有点怪 1.畅销书《你不像任何人》作者有厌最新甜蜜校园暗恋文，晋江首章4万点击，共2亿积分。高考线与暗恋线并行，励志又美好，十分贴近读者生活，共鸣感满满，是一本治愈精神内耗的小甜饼。各平台自来水推荐，读者评价真情实感。 2.钝感力直球少女 姜织 恋爱脑校草学霸 沈译驰，由一场告白乌龙引起的错位心动，会自我脑补、自我攻略的恋爱脑男主最可爱了！ 3.封面采用230g晶碧特种纸，书名采用磨砂UV 激凸工艺，一套双册，装帧精美。新增3000字独家番外，随书附赠精美赠品，物有所值。
青春校园文学,小小姐小MM迷你爱藏本7--傲娇公主的美丽回旋（升级版）随书附赠：独家定制淑女爱藏名片,意林·小小姐,6.80,吉林摄影出版社,自营,她像一个活泼多变的女孩，时而清新文艺，时而伤感动人，时而鬼马搞怪，时而腹黑毒舌。但毫无疑问，她的每一面，都是女孩们*美丽的样子。
青春校园文学,小小姐小MM迷你爱藏本8--花田明月照年少（升级版）随书附赠：独家定制淑女爱藏名片,意林·小小姐,6.80,吉林摄影出版社,自营,人气连载 精彩短篇 绚丽栏目 超大容量 超多美图， 一次珍藏！
青春校园文学,梦想开始了，就别停下来 夜未央,夜未央,22.10,山东人民出版社,自营,49个故事，一起走过喜悦与悲伤。 或许是那个和爷爷一起住在不成调的民谣里的十七岁姑娘，爷孙一直坚持着，在彼此的生命里唱歌；或许是坚守一事，永远热泪盈眶；或许是爱折腾、尽管一而再的失败；亦或是在夜晚仰望星辰的未眠人 有人陪我们走过漫漫长夜，有人赋予我们勇气，让我们成为奋力翱翔的飞鸟。 这不是意在鼓励你我的壮志豪言，也不是安抚你我的心灵鸡汤，是给梦想的同路人、也给那些因梦想而失眠的人的不老歌。
青春校园文学,酸梅(附全新独家番外) 黄三 江苏凤凰文艺出版社 【新华书店正版图书书籍】,黄三,19.50,江苏凤凰文艺出版社,北方图书城旗舰店,暂无简介
青春校园文学,新锐法医.2迷雾 【限量签名本】晋江高人气双男主刑侦悬疑作品，网络原名《鉴罪者》。,吕吉吉/欣欣向爱,29.90,孔学堂书局,自营,暂无简介
青春校园文学,夏日上上签（治愈系作者吃柚子不吐皮吖纯爱之作；温柔校草陈舟辞vs可爱少女温既白；凡事关于你，皆为上上签。）,吃柚子不吐皮吖/欣梦享,27.40,江苏凤凰文艺出版社,自营,★校园文精品，治愈系作者吃柚子不吐皮吖纯爱之作。 ★温柔校草陈舟辞vs可爱少女温既白，经典校园cp，甜蜜无限。 ★日久生情，双向奔赴，温暖夏日上演独家救赎。 ★凡事关于你，皆为上上签。
青春校园文学,成双 （酸甜的校园暗恋心事）,越六关/大鱼文化,38.60,江苏凤凰文艺出版社,自营,大学校园/情有独钟/暗恋圆满 一段笑意满满、泪水涟涟的暗恋心事记录 肆意贵公子 黎肆行 X 爱意未敢声张 元双 她在那支深藏心意的录音笔中称他四号，以月作喻。 四号，是她整个青春秘密的独家代号，是破解她所有少女心思的唯一密钥。 1.怦然心动的校园酸涩暗恋故事 她的暗恋惊心动魄，每一帧都是关于他。 2.故事青涩动人，酸甜好看。少女元双暗恋年少时的校友黎肆行，在她暗无天光的年少时光里，黎肆行像一束光闯进来，安慰了她，从此录音笔里都是关于黎肆行的点点滴滴。直到大学再遇，黎肆行才知晓，十六岁的种种与他关联甚深，焚骨噬心。 3.精美装帧设计。附赠心动录音笔留言卡。黎肆行跨越时光，回应十六岁元双的每一次欣喜与失落。
青春校园文学,藏拙,暂无作者信息,41.20,四川文艺出版社,自营,暗恋救赎 必看宝藏文！ 收录未公开番外《夜航》 青春喧嚣不止， 少女的暗恋盛大而隐秘。 裴折聿x周亦澄 就算没有勇气靠近。 但在无人的角落里，那是属于她的独家秘密。
青春校园文学,第十二颗星,黄鱼听雷,43.20,北京联合出版有限公司,自营,人气作者黄鱼听雷暗恋系列代表作 陈鹤森X梁蔚，耀眼少年X低调少女 内外双封设计，外封模切工艺。封面设计别具一格，色调清新自然，赋有浓郁的夏日校园的气息。 8P精美彩页，倾心绘制两组风格主角人物形象，满足读者的多种期待。 随书附送人物书签、夏日明信片、拍立得照片 2、暗恋记录卡等多重赠品。 他也曾是她旧日里狂热的梦。
青春校园文学,酸甜（超人气作者玖玖甜宠暗恋之作）,玖玖,44.20,花山文艺出版社,自营,引起无数读者青春共鸣的暗恋口碑之作 甜暖爱情掌门人玖玖圈粉无数的青春经典之作 每个人都有一段无法磨灭的青春记忆，致所有人的青春记忆之书 我有一个秘密想要告诉你，有一个人，一直住在我的心里。 1）作者玖玖是青春畅销书作家，作品《我*亲爱的你》《你是我梦想环游的世界》《你是我难以言说的秘密》（初恋三部曲）销售火爆，是有口皆碑的实力派作家。本书为玖玖代表作之一，无论是情感的真挚与细腻，还是人物的塑造，都能唤起读者的无尽共鸣，想起喜欢一个人的种种心情。 2）特别奉献独家番外，讲述何适、谢雅琪婚前婚后的高糖日常，*会让你怦然心动。
青春校园文学,成双 作者特签版 酸甜的校园暗恋心事,越六关/大鱼文化,38.60,江苏凤凰文艺出版社,自营,大学校园/情有独钟/暗恋圆满 一段笑意满满、泪水涟涟的暗恋心事记录 肆意贵公子 黎肆行 X 爱意未敢声张 元双 她在那支深藏心意的录音笔中称他四号，以月作喻。 四号，是她整个青春秘密的独家代号，是破解她所有少女心思的唯一密钥。 1.怦然心动的校园酸涩暗恋故事 她的暗恋惊心动魄，每一帧都是关于他。 2.故事青涩动人，酸甜好看。少女元双暗恋年少时的校友黎肆行，在她暗无天光的年少时光里，黎肆行像一束光闯进来，安慰了她，从此录音笔里都是关于黎肆行的点点滴滴。直到大学再遇，黎肆行才知晓，十六岁的种种与他关联甚深，焚骨噬心。 3.精美装帧设计。附赠心动录音笔留言卡。黎肆行跨越时光，回应十六岁元双的每一次欣喜与失落。
青春校园文学,以你为名的夏天 黑马作者任凭舟炽烈青春校园代表作。少年感爆棚·跩哥学霸×外柔内刚·软甜才女。新增8000字独家番外《今晚,暂无作者信息,40.60,敦煌文艺出版社,安徽新华书店旗舰店,暂无简介
青春校园文学,独家记忆,木浮生,17.20,云南人民出版社,自营,本书是著名言情小说作家木浮生的**长篇新作。A大英语系的大三女生薛桐一次考试作弊未遂，被“可爱的”青年教师慕承和抓到，从此两人结下“不解之缘”。先是慕老师来做俄语选修课的代课老师，薛桐被叫去补课，令她恨意又增。然而慢慢发现慕老师是一个非常有魅力有内涵的老师……此后，薛同学一直在慢慢发展心中的暗恋，用一句古诗来说就是“山有木兮木有枝，心悦君兮君不知”。直到薛桐毕业，在工作和家庭经历一些故事学习长大，更多了解了彼此的过往将来，那朦胧遮蔽的暗恋情愫才得挑去，两人幸福地走到了一起。
青春校园文学,独家甜蜜：“恶毒”女配角的逆袭之旅，陷阱即将打开，请小心！,米米拉,18.40,天津人民出版社,自营,乌鸦嘴田小甜，一直过着平淡无奇的生活，可是自从那天晚上她做了那个奇怪的梦后，一切都开始不一样了，她会变成梦里那个 恶毒 的女配角吗？ 从小就有轻微脸盲症的他，性格冰冷，却意外发现自己竟然记下了那个偶尔见过一面的丫头的脸，从此他设下各种陷阱，只为了见到她 这样两个人的相遇，会有怎样的奇妙故事呢？
青春校园文学,带我去你的岛,暂无作者信息,10.07,花山文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,酸梅 黄三代表作，你不会再孤单了，有我陪着你 (附全新独家番外),黄三,29.69,江苏文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,【新华书店旗舰正版】春风十里不如你 冯唐著年轻时极尽欢喜年长后极尽通透北京北京成事无所畏作者现代文学小说书,冯唐,28.64,北京联合出版公司,浙江省新华书店旗舰店,暂无简介
青春校园文学,一粒红尘(Ⅱ乔楚独家纪念版全新增订),独木舟,20.75,湖南文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,喜宝,亦舒,24.61,湖南文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,一粒红尘昭觉(独家纪念版),独木舟,18.78,湖南文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,苍兰诀,九鹭非香,18.73,四川文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,春风不若你微笑,暂无作者信息,22.25,花山文艺出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,入池(2),骑鲸南去,23.44,江苏文艺出版社,浙江省新华书店旗舰店,暂无简介
