类别,书名,作者,价格,出版社,商家,简介
古代言情青春文学,医手遮天Ⅴ决战九幽都（完美大结局！宿命之战，王者归来，问鼎天下谁与争锋？独家全新番外震撼上市！）,慕璎珞,20.50,青岛出版社,自营,天命之女开创盛世王者莅临睥睨天下 玄幻人气天后慕璎珞强势回归《医手遮天》大结局《决战九幽都》 血色地狱万花盛事天玄商会九幽之地**一战 宿命之战，王者归来，问鼎天下谁与争锋？ 独家全新番外震撼上市！无数潇湘书迷心中不可超越的玄幻经典！ 本文是潇湘书院玄幻人气女作家慕璎珞的经典之作，讲述了女废柴慕芷璃不断超越自己，历经艰难困苦，*后收获亲情、友情、爱情的动人故事。她笔下的慕芷璃美丽聪慧、坚强勇敢、深受读者们的喜爱。该文在潇湘一经连载，立即引发数万读者追文，无数粉丝为其中生动的情节、激烈的打斗场面，以及火热的爱情和热血的励志如痴如醉，将此文长期追捧在潇湘订阅榜前五名。聪慧女主，迷人男主，不一样的瑰丽玄幻世界，可谓不可超越的潇湘玄幻经典！ ★本文为潇湘书院各大榜单
古代言情青春文学,苏染染追夫记之问倾城（当当独家签名版！热播网剧《苏染染追夫记》原著系列第二部！华语才情作家云葭经典之作，神秘千金vs风流,云葭,18.70,沈阳出版社,自营,当当独家作者亲笔签名版！ 网络热播剧《苏染染追夫记》同名小说第二部火热来袭！ 华语才情作家云葭倾力之作！ 一场乌龙，她被迫嫁给神兵阁少阁主。 不料，他竟要同时纳花魁为妾，更有美人当众抢亲！ 一怒之下，她留下一纸休书逃之夭夭。 她带着不为人知的秘密闯荡江湖， 却将所有人都卷入了一场巨大的阴谋 神秘千金vs风流少主 鸡飞狗跳的江湖生活开始啦！
古代言情青春文学,唐宫·贵妃传,莫吟思,20.50,山西人民出版社发行部,自营,你如风一般出现在我绝望的时刻，成为我一生的盖世英雄 我像云一样追随着你踏遍千山万水，伴着你直到那地老天荒 一段大明宫中的旷世爱恋，一个后宫女子的生存法则 官家女子独孤姝华先是爱上薄情浪荡的唐代宗次子李邈，在看清李邈面目之后，却发现一直守护在她身边的皇帝才是她值得托付终身的真爱。 豆瓣阅读超人气宫斗小说继《甄嬛传》后又一宫廷鸿篇巨制影视改编火热进行中
古代言情青春文学,凤血（古言经典之作《帝王业》后言情天后寐语者又一华章巨献。红颜艳骨，孽缘纠葛；凤凰涅槃，浴火而生。超值附赠独家番外+华美,寐语者/白马时光,23.00,百花洲文艺出版社,自营,◆古言经典之作《帝王业》后，言情天后寐语者又一华章巨献。 ◆红颜艳骨，孽缘纠葛；凤凰涅槃，浴火而生。 ◆八年沉淀，口口相传。 ◆豪华装帧，独具匠心的拉页设计。 ◆超值附赠独家番外 华美海报。 重磅推荐： 《凰图》：鸟兽跄跄，凤皇来仪；谁主天下，爱欲生杀。 《昭奚旧草》：奚山望岁三百年，公子扶苏胡不归。前世今生一双人，生死轮回未央情。 《春江花月夜》：古风幻想类经典代表作！ENO手绘封面图，附赠鹿菏手绘唯美海报 古风人物书签一套。同名系列电影重磅打造中！
古代言情青春文学,大漠谣.下,桐华,32.40,江苏凤凰文艺出版社,自营,?桐华大汉情缘系列 你曾说过，我的心意和《白头吟》的曲意不合，所以转折处难以为继，今日我的曲意和 心意相通，应该吹得很好，但我宁可永远吹不好这首曲子，永远不懂它的曲意。 ?桐华2020年的经典修订版，新增套系版序言 时隔多年，站在全新的立场和视角对故事进行解读，是值得收藏的经典版。 ?随书赠送精美 凤凰于飞 书签 人生路漫漫，你总要相信自己，相信时光，相信无论何时都会有振翅的勇气和自由的灵魂。 ?封面设计上启动全新的设计理念和风格，封面创意：黄沙漠漠，凤凰于飞 大漠古路，蓝裙飞舞，黄沙漫漫，驼铃悠悠。从苍茫大漠再到繁华长安，仿佛有一卷画轴在慢慢开启。那个在狼群中长大的女孩得到了心心念念的蓝色长裙，是否也得到了自己放在心上的人？他说如果有什么事情记得来找我，长安城里你不是孤身一人。或许那满地的金银
古代言情青春文学,迷神记（施定柔的武侠言情）,施定柔,28.60,浙江文艺出版社,自营,喜欢作者写的故事，在轻风细雨中，在薄薄云雾中，在飞雪漫天中，每个人都有属于自己的人生际遇，就像慕容无风和楚荷衣，就像唐潜和吴悠，就像慕容子忻和苏风沂，逃无可逃，避无可避。如何打破专属自己的舒适区，迎来与自己 共舞 之人，是要不断探究的课题，也是一项难题，这远比江湖风雨带来的震撼更大。 笔底有古龙的风致，书外有金庸的情怀，可能是 武侠年 的*杰出作品。此书出于女性作家之手，文字优美，笔力却雄浑。虽然是以武侠的方式写作一部言情小说，却能从人生的残缺和自我的寻找入手，令人震惊。 《新京报》 定柔笔下的江湖，宛如水墨画般飘逸灵动，既得古龙之神韵，更兼金庸之气势，塑造出令无数网络读者为之神迷不已的荷衣和无风两位传奇人物。定柔笔下的江湖，从古龙的另类里多添了几缕诧异和柔情。文笔云淡风清，开篇犹
古代言情青春文学,大漠谣.上,桐华,32.40,江苏凤凰文艺出版社,自营,?桐华大汉情缘系列 你曾说过，我的心意和《白头吟》的曲意不合，所以转折处难以为继，今日我的曲意和 心意相通，应该吹得很好，但我宁可永远吹不好这首曲子，永远不懂它的曲意。 ?桐华2020年的经典修订版，新增套系版序言 时隔多年，站在全新的立场和视角对故事进行解读，是值得收藏的经典版。 ?随书赠送精美 凤凰于飞 书签 人生路漫漫，你总要相信自己，相信时光，相信无论何时都会有振翅的勇气和自由的灵魂。 ?封面设计上启动全新的设计理念和风格，封面创意：黄沙漠漠，凤凰于飞 大漠古路，蓝裙飞舞，黄沙漫漫，驼铃悠悠。从苍茫大漠再到繁华长安，仿佛有一卷画轴在慢慢开启。那个在狼群中长大的女孩得到了心心念念的蓝色长裙，是否也得到了自己放在心上的人？他说如果有什么事情记得来找我，长安城里你不是孤身一人。或许那满地的金银
古代言情青春文学,《凤隐天下》（“绝情暖爱”掌门人月出云继《盗妃天下》后，再创华美古言奇葩。 独家大结局，甜蜜番外，超值典藏）,月出云,29.90,江苏文艺出版社,自营,独家定制赠品，买一赠一，新书热销，2012开年有礼啦！ “绝情暖爱”掌门人月出云继《盗妃天下》后，再创华美古言奇葩。 嗜血红颜，遮天权相，*惨烈的厮斗原只为了*温柔的感动！ 朝堂斗，战场谋，刑场杀，当逐鹿之心淡去，谁在烈焰中拔刀，谁在寂寥中救赎？ 作者自序+人物档案+独家大结局+甜蜜番外+精致书签+唯美插图+主题曲 **超值典藏！ *婉约清丽的笔触，讲述*爱恨纠葛荡气回肠的爱恋。她从生下来就被培养成一颗棋子，从陷入局中，到被人沦为过河小卒，再到后来挣扎反抗，红颜一怒。 皇权、兵变、征战、斗争、缠绵悱恻、历尽煎熬、至爱无悔！一部难得的大气磅礴又不失细腻柔情的古言奇葩，一部融言情、权谋、征战于一体的言情经典。 世间从来都有传奇，只看你我是否遇到。不过，要相信，传奇般的
古代言情青春文学,纨绔世子妃5姻缘劫（温文尔雅的腹黑世子VS腹有乾坤的纨绔少女 华丽对手戏不断升级!！独家剧场3篇+“古风豪华”大礼包超值,西子情,36.40,青岛出版社,自营,古风派当红作者西子情继 《妾本惊华 》 后，**巨献! 温文尔雅的腹黑世子VS腹有乾坤的纨绔少女华丽对手戏不断升级! 她策马挥剑，只为凤冠霞帔，一方天地。 他泼墨山河，只为万里红绸，旷世姻缘。 陈年老醋 独家剧场版 唐卡手绘封面 容境古风海报、明信片 Q版人物志，超值典藏。 昔日的染小王爷，今日的夜氏新皇。 她*不愿与他拔刀相向，奈何抵不过命运红河。 重重阴谋叠嶂，连环鲜血白骨，皇位更替的玉阶上，他不愿孤寂苍凉，夺她的心来作陪。 黄泉碧落，天街水空，九州塌陷，三尺青锋，有一个人谋她十年不止，注定寸步不让。 是以，冰魄长剑终是刺破万里长空，十里红绸染尽天下。
古代言情青春文学,"天定风华Ⅶ凤归来（天下归元《凤倾天阑》“太史阑”篇完美大结局！新增独家搞笑番外《抢亲记》、5张Q版人物卡片,钱妤精美海报",天下归元,35.90,江苏文艺出版社,自营,"《天定风华Ⅶ凤归来》为天下归元《凤倾天阑》“太史阑”篇完美大结局！继《扶摇皇后》《凰权》后**巨制。看女汉子太史阑，如何成为一代名将，驭下斗智，驰骋疆场；看熊孩子景泰蓝，如何成为一位贤主，斩仇绝恨，统治万民；看妖孽容楚，如何成为一名妻奴，争风吃醋，爱妻溺子；这锦绣天下三万里，终不抵繁花满树，薄酒半樽，爱人在侧，一双儿女。新增独家搞笑番外《抢亲记》、5张Q版人物卡片,精美海报书签，完美典藏！ 女帝传奇系列：《扶摇皇后》《帝凰》《凰权》《燕倾天下》； 天定风华系列：《天定风流Ⅰ千寻记》《天定风华Ⅱ金瓯缺》《天定风华Ⅲ笑忘归》（网络原名《千金笑》，君珂篇）《天定风华Ⅳ此心倾》《天定风华Ⅴ啭九天》《天定风华Ⅵ笑凭阑》《天定风华Ⅶ凤归来》（网络原名《凤倾天阑》，太史阑篇）。"
